x,y,signal_strength,Anomaly
33.55,9.1,-41.611111,0
22.55,8.1,-33.166667,0
48.55,22.1,-43.555556,0
19.55,7.1,-43.0,0
22.55,11.1,-48.611111,0
41.55,9.1,-35.388889,0
22.55,10.1,-51.277778,0
41.55,8.1,-40.0,0
22.55,13.1,-58.111111,0
48.55,21.1,-47.388889,0
35.55,7.1,-44.5,0
48.55,20.1,-45.5,0
22.55,12.1,-52.555556,0
22.55,15.1,-53.777778,0
22.55,14.1,-59.722222,0
42.55,9.1,-44.388889,0
49.55,22.1,-43.5,0
42.55,8.1,-41.333333,0
60.55,7.1,-45.111111,0
49.55,21.1,-44.722222,0
49.55,20.1,-40.888889,0
23.55,9.1,-36.277778,0
23.55,8.1,-42.888889,0
43.55,9.1,-45.777778,0
50.55,22.1,-46.111111,0
21.55,8.1,-33.0,0
43.55,8.1,-43.333333,0
18.55,7.1,-42.444444,0
21.55,11.1,-54.166667,0
61.55,7.1,-47.5,0
21.55,10.1,-48.833333,0
50.55,21.1,-34.555556,0
50.55,20.1,-41.722222,0
21.55,13.1,-60.888889,0
14.55,20.1,-37.444444,0
14.55,21.1,-39.555556,0
21.55,12.1,-58.789474,0
14.55,22.1,-45.388889,0
21.55,15.1,-54.444444,0
21.55,14.1,-61.055556,0
36.55,9.1,-42.722222,0
36.55,8.1,-40.111111,0
51.55,21.1,-34.888889,0
51.55,20.1,-35.722222,0
62.55,7.1,-49.263158,0
51.55,22.1,-35.333333,0
22.55,9.1,-36.833333,0
20.55,9.1,-38.526316,0
52.55,21.1,-32.166667,0
52.55,20.1,-38.555556,0
20.55,8.1,-36.333333,0
52.55,22.1,-31.777778,0
17.55,7.1,-41.777778,0
52.55,17.1,-51.611111,0
45.55,9.1,-47.578947,0
52.55,16.1,-55.166667,0
52.55,19.1,-38.833333,0
45.55,8.1,-46.222222,0
52.55,18.1,-50.777778,0
12.55,7.1,-51.5,0
39.55,7.1,-37.555556,0
53.55,17.1,-50.722222,0
53.55,20.1,-41.166667,0
46.55,9.1,-48.444444,0
53.55,22.1,-38.111111,0
46.55,8.1,-50.5,0
53.55,16.1,-52.666667,0
53.55,19.1,-46.055556,0
32.55,7.1,-47.611111,0
53.55,18.1,-45.222222,0
53.55,21.1,-37.333333,0
54.55,17.1,-48.5,0
21.55,9.1,-34.277778,0
54.55,20.1,-45.888889,0
27.55,9.1,-48.111111,0
47.55,9.1,-48.666667,0
54.55,22.1,-42.111111,0
27.55,8.1,-50.055556,0
47.55,8.1,-49.5,0
54.55,16.1,-53.222222,0
16.55,7.1,-49.111111,0
54.55,19.1,-48.666667,0
15.55,20.1,-42.777778,0
33.55,7.1,-48.166667,0
54.55,18.1,-45.777778,0
15.55,21.1,-42.055556,0
54.55,21.1,-40.368421,0
15.55,22.1,-35.444444,0
55.55,22.1,-41.263158,0
40.55,9.1,-31.944444,0
40.55,8.1,-41.666667,0
55.55,21.1,-41.789474,0
34.55,7.1,-51.166667,0
55.55,20.1,-47.944444,0
26.55,9.1,-46.333333,0
56.55,21.1,-50.210526,0
56.55,20.1,-48.888889,0
26.55,8.1,-49.444444,0
23.55,7.1,-38.166667,0
13.55,7.1,-47.789474,0
43.55,7.1,-49.166667,0
56.55,22.1,-52.421053,0
57.55,21.1,-50.444444,0
57.55,20.1,-42.333333,0
36.55,7.1,-44.944444,0
57.55,22.1,-46.315789,0
58.55,21.1,-43.333333,0
58.55,20.1,-44.055556,0
25.55,9.1,-39.888889,0
8.55,20.1,-45.111111,0
25.55,8.1,-49.722222,0
8.55,21.1,-48.105263,0
8.55,22.1,-45.611111,0
22.55,7.1,-36.5,0
37.55,7.1,-40.277778,0
58.55,22.1,-54.631579,0
59.55,21.1,-48.666667,0
59.55,20.1,-44.833333,0
59.55,22.1,-49.166667,0
44.55,9.1,-49.611111,0
44.55,8.1,-49.611111,0
38.55,7.1,-43.444444,0
24.55,9.1,-34.944444,0
24.55,8.1,-47.222222,0
21.55,7.1,-34.888889,0
80.55,9.1,-50.473684,0
14.55,7.1,-53.833333,0
80.55,8.1,-49.473684,0
60.55,21.1,-43.368421,0
47.55,7.1,-49.611111,0
60.55,20.1,-49.157895,0
60.55,22.1,-49.0,0
81.55,9.1,-50.473684,0
61.55,21.1,-40.631579,0
81.55,8.1,-51.526316,0
40.55,7.1,-38.777778,0
61.55,20.1,-45.736842,0
61.55,22.1,-39.789474,0
9.55,20.1,-35.833333,0
9.55,21.1,-41.789474,0
62.55,21.1,-41.105263,0
9.55,22.1,-42.473684,0
31.55,9.1,-42.666667,0
31.55,8.1,-51.166667,0
20.55,7.1,-45.111111,0
41.55,7.1,-38.842105,0
12.55,8.1,-52.842105,0
62.55,20.1,-49.421053,0
12.55,9.1,-52.210526,0
62.55,22.1,-32.894737,0
63.55,21.1,-41.315789,0
63.55,20.1,-45.684211,0
19.55,20.1,-43.166667,0
19.55,21.1,-41.833333,0
19.55,22.1,-37.722222,0
42.55,7.1,-44.833333,0
63.55,22.1,-27.789474,0
30.55,9.1,-53.105263,0
30.55,8.1,-51.578947,0
32.55,22.1,-34.944444,0
27.55,7.1,-52.833333,0
15.55,7.1,-49.166667,0
32.55,21.1,-33.944444,0
32.55,20.1,-33.0,0
18.55,20.1,-49.222222,0
18.55,21.1,-37.944444,0
33.55,22.1,-37.666667,0
18.55,22.1,-41.888889,0
44.55,7.1,-48.111111,0
33.55,21.1,-39.833333,0
33.55,20.1,-38.833333,0
11.55,20.1,-44.833333,0
11.55,21.1,-38.947368,0
10.55,20.1,-35.555556,0
10.55,21.1,-35.421053,0
10.55,22.1,-40.944444,0
29.55,9.1,-50.842105,0
34.55,22.1,-38.444444,0
29.55,8.1,-52.888889,0
26.55,7.1,-47.777778,0
45.55,7.1,-41.722222,0
34.55,21.1,-40.166667,0
34.55,20.1,-39.055556,0
13.55,8.1,-49.277778,0
13.55,9.1,-47.222222,0
17.55,21.1,-37.777778,0
17.55,22.1,-42.555556,0
17.55,20.1,-43.777778,0
35.55,21.1,-44.111111,0
35.55,20.1,-44.944444,0
46.55,7.1,-47.666667,0
35.55,22.1,-41.666667,0
70.55,9.1,-42.944444,0
70.55,8.1,-43.157895,0
70.55,11.1,-48.105263,0
70.55,10.1,-42.555556,0
28.55,9.1,-47.947368,0
36.55,21.1,-47.055556,0
70.55,13.1,-45.111111,0
71.55,9.1,-38.166667,0
36.55,20.1,-46.0,0
28.55,8.1,-52.666667,0
70.55,12.1,-48.277778,0
71.55,8.1,-37.789474,0
36.55,22.1,-41.888889,0
25.55,7.1,-48.5,0
70.55,15.1,-51.611111,0
71.55,11.1,-39.111111,0
64.55,9.1,-45.111111,0
70.55,14.1,-51.388889,0
71.55,10.1,-36.111111,0
64.55,8.1,-47.166667,0
71.55,13.1,-47.055556,0
71.55,12.1,-43.777778,0
37.55,17.1,-56.777778,0
71.55,15.1,-54.894737,0
65.55,9.1,-38.631579,0
71.55,14.1,-46.0,0
16.55,22.1,-36.833333,0
37.55,20.1,-44.555556,0
65.55,8.1,-48.111111,0
16.55,20.1,-47.611111,0
37.55,22.1,-44.222222,0
7.55,21.1,-43.666667,0
16.55,21.1,-43.222222,0
37.55,16.1,-56.222222,0
37.55,19.1,-51.388889,0
37.55,18.1,-49.222222,0
66.55,9.1,-36.315789,0
37.55,21.1,-48.055556,0
11.55,22.1,-38.611111,0
66.55,8.1,-51.947368,0
38.55,17.1,-54.722222,0
7.55,20.1,-45.333333,0
7.55,22.1,-43.333333,0
67.55,9.1,-37.210526,0
38.55,20.1,-45.722222,0
67.55,8.1,-48.473684,0
38.55,22.1,-50.5,0
38.55,16.1,-53.444444,0
24.55,7.1,-47.888889,0
38.55,19.1,-47.333333,0
38.55,18.1,-46.888889,0
38.55,21.1,-40.666667,0
14.55,8.1,-49.888889,0
14.55,9.1,-49.631579,0
23.55,20.1,-46.0,0
39.55,22.1,-50.166667,0
23.55,21.1,-44.0,0
39.55,21.1,-42.166667,0
23.55,22.1,-46.0,0
39.55,20.1,-47.5,0
